,Date,month,year,AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_675nm,AOD_500nm,AOD_440nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,N[AOD_1640nm],N[AOD_1020nm],N[AOD_870nm],N[AOD_865nm],N[AOD_779nm],N[AOD_675nm],N[AOD_667nm],N[AOD_620nm],N[AOD_560nm],N[AOD_555nm],N[AOD_551nm],N[AOD_532nm],N[AOD_531nm],N[AOD_510nm],N[AOD_500nm],N[AOD_490nm],N[AOD_443nm],N[AOD_440nm],N[AOD_412nm],N[AOD_400nm],N[AOD_380nm],N[AOD_340nm],N[Precipitable_Water(cm)],N[AOD_681nm],N[AOD_709nm],N[AOD_Empty],N[AOD_Empty].1,N[AOD_Empty].2,N[AOD_Empty].3,N[AOD_Empty].4,N[440-870_Angstrom_Exponent],N[380-500_Angstrom_Exponent],N[440-675_Angstrom_Exponent],N[500-870_Angstrom_Exponent],N[340-440_Angstrom_Exponent],N[440-675_Angstrom_Exponent[Polar]],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),datetime
1752,28,1,2012,0.011096,0.013174,0.018649,0.019054,0.033231,0.035817,0.05099,0.065556,4.564917,1.074472,1.593449,1.541792,1.062933,2.404136,20,20,20,0,0,20,0,0,0,0,0,0,0,0,20,0,0,20,0,0,20,20,20,0,0,0,0,0,0,0,20,20,20,20,20,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-01-28
1753,29,1,2012,0.012649,0.01291,0.021539,0.02382,0.044057,0.048976,0.069579,0.091921,4.95061,1.30812,1.674169,1.731914,1.219212,2.467185,6,6,6,0,0,6,0,0,0,0,0,0,0,0,5,0,0,6,0,0,6,6,6,0,0,0,0,0,0,0,6,6,6,6,6,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-01-29
1754,30,1,2012,0.037121,0.03723,0.043904,0.045041,0.064764,0.069197,0.091583,0.112654,5.065962,0.805926,1.348085,1.129238,0.790222,2.069269,13,13,13,0,0,13,0,0,0,0,0,0,0,0,13,0,0,13,0,0,13,12,13,0,0,0,0,0,0,0,13,13,13,13,13,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-01-30
1755,7,2,2012,0.03553,0.045033,0.057392,0.069156,0.105054,0.118233,0.155437,0.190152,3.635428,1.096441,1.452552,1.2689,1.091469,1.888311,19,19,19,0,0,19,0,0,0,0,0,0,0,0,19,0,0,19,0,0,19,19,19,0,0,0,0,0,0,0,19,19,19,19,19,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-02-07
1756,8,2,2012,0.032749,0.045296,0.058158,0.073852,0.11656,0.133136,0.171572,0.207494,4.259887,1.247718,1.427713,1.390707,1.253084,1.757048,18,18,18,0,0,18,0,0,0,0,0,0,0,0,18,0,0,18,0,0,18,18,18,0,0,0,0,0,0,0,18,18,18,18,18,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-02-08
1757,9,2,2012,0.024679,0.034806,0.044022,0.055176,0.085601,0.097037,0.123288,0.148205,3.878144,1.1972,1.338601,1.33433,1.203402,1.647166,34,34,34,0,0,34,0,0,0,0,0,0,0,0,34,0,0,34,0,0,34,34,34,0,0,0,0,0,0,0,34,34,34,34,34,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-02-09
1758,10,2,2012,0.05683,0.065119,0.074652,0.086529,0.123426,0.13775,0.172078,0.203412,4.263454,0.958994,1.250662,1.125896,0.944116,1.585363,15,15,15,0,0,15,0,0,0,0,0,0,0,0,15,0,0,15,0,0,15,15,15,0,0,0,0,0,0,0,15,15,15,15,15,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-02-10
1759,11,2,2012,0.051021,0.06381,0.076134,0.093905,0.144996,0.165726,0.211871,0.256363,4.600552,1.168643,1.397424,1.335559,1.159586,1.732591,2,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-02-11
1760,13,2,2012,0.02307,0.029144,0.039215,0.046554,0.077114,0.082602,0.107702,0.13531,5.027353,1.174962,1.237178,1.388945,1.226853,1.936106,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-02-13
1761,16,2,2012,0.012555,0.020272,0.02595,0.031626,0.050119,0.053988,0.067643,0.080084,3.761802,1.138994,1.114284,1.293318,1.192458,1.568029,16,16,16,0,0,16,0,0,0,0,0,0,0,0,16,0,0,16,0,0,16,16,16,0,0,0,0,0,0,0,16,16,16,16,16,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-02-16
