,Date,month,year,AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_675nm,AOD_500nm,AOD_440nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,N[AOD_1640nm],N[AOD_1020nm],N[AOD_870nm],N[AOD_865nm],N[AOD_779nm],N[AOD_675nm],N[AOD_667nm],N[AOD_620nm],N[AOD_560nm],N[AOD_555nm],N[AOD_551nm],N[AOD_532nm],N[AOD_531nm],N[AOD_510nm],N[AOD_500nm],N[AOD_490nm],N[AOD_443nm],N[AOD_440nm],N[AOD_412nm],N[AOD_400nm],N[AOD_380nm],N[AOD_340nm],N[Precipitable_Water(cm)],N[AOD_681nm],N[AOD_709nm],N[AOD_Empty],N[AOD_Empty].1,N[AOD_Empty].2,N[AOD_Empty].3,N[AOD_Empty].4,N[440-870_Angstrom_Exponent],N[380-500_Angstrom_Exponent],N[440-675_Angstrom_Exponent],N[500-870_Angstrom_Exponent],N[340-440_Angstrom_Exponent],N[440-675_Angstrom_Exponent[Polar]],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),datetime
1304,14,11,2014,0.075704,0.093195,0.098316,0.108193,0.150357,0.161611,0.189678,0.21288,3.297693,0.752504,0.842644,0.942717,0.752006,1.106917,46,46,46,0,0,46,0,0,0,0,0,0,0,0,46,0,0,46,0,0,46,46,46,0,0,0,0,0,0,0,46,46,46,46,46,0,lev15,824,Petrolina_SONDA,-9.0691,-40.320108,381,2014-11-14
1305,15,11,2014,0.157224,0.169283,0.171718,0.177721,0.224595,0.236655,0.270961,0.304864,3.495916,0.528266,0.701391,0.709178,0.512146,1.006759,18,18,18,0,0,18,0,0,0,0,0,0,0,0,18,0,0,18,0,0,18,18,18,0,0,0,0,0,0,0,18,18,18,18,18,0,lev15,824,Petrolina_SONDA,-9.0691,-40.320108,381,2014-11-15
1306,19,11,2014,0.010551,0.019304,0.023312,0.02977,0.052866,0.056643,0.070493,0.075012,4.221168,1.400674,1.060401,1.573787,1.49343,1.124534,2,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,0,lev15,824,Petrolina_SONDA,-9.0691,-40.320108,381,2014-11-19
1307,22,11,2014,0.028511,0.036305,0.037205,0.036169,0.055524,0.0544,0.065933,0.075819,3.158958,0.703391,0.639279,1.06456,0.763876,1.31466,21,21,21,0,0,21,0,0,0,0,0,0,0,0,21,0,0,21,0,0,21,21,21,0,0,0,0,0,0,0,21,21,21,21,21,0,lev15,824,Petrolina_SONDA,-9.0691,-40.320108,381,2014-11-22
1308,23,11,2014,0.039078,0.047891,0.048325,0.043978,0.069546,0.06718,0.082984,0.102309,3.284131,0.64064,0.654088,1.097656,0.688814,1.641374,16,16,16,0,0,16,0,0,0,0,0,0,0,0,16,0,0,16,0,0,16,16,16,0,0,0,0,0,0,0,16,16,16,16,16,0,lev15,824,Petrolina_SONDA,-9.0691,-40.320108,381,2014-11-23
1309,24,11,2014,0.057772,0.07172,0.075412,0.08105,0.119725,0.128373,0.155796,0.181368,3.227293,0.855699,0.972852,1.118326,0.853469,1.366568,42,42,42,0,0,42,0,0,0,0,0,0,0,0,42,0,0,42,0,0,42,42,42,0,0,0,0,0,0,0,42,42,42,42,42,0,lev15,824,Petrolina_SONDA,-9.0691,-40.320108,381,2014-11-24
1310,25,11,2014,0.040714,0.055184,0.060155,0.069307,0.107654,0.119559,0.147095,0.1704,2.949759,1.071273,1.148513,1.305405,1.066024,1.39022,10,10,10,0,0,10,0,0,0,0,0,0,0,0,10,0,0,10,0,0,10,10,10,0,0,0,0,0,0,0,10,10,10,10,10,0,lev15,824,Petrolina_SONDA,-9.0691,-40.320108,381,2014-11-25
1311,27,11,2014,0.038806,0.051237,0.054424,0.057844,0.08822,0.093187,0.114726,0.136191,2.254169,0.888744,0.98122,1.178135,0.902439,1.499777,42,42,42,0,0,42,0,0,0,0,0,0,0,0,42,0,0,42,0,0,42,42,42,0,0,0,0,0,0,0,42,42,42,42,42,0,lev15,824,Petrolina_SONDA,-9.0691,-40.320108,381,2014-11-27
1312,28,11,2014,0.038362,0.050932,0.053979,0.055504,0.087882,0.090783,0.111461,0.134328,2.923745,0.868796,0.872235,1.211016,0.896447,1.529336,19,19,19,0,0,19,0,0,0,0,0,0,0,0,19,0,0,19,0,0,19,19,19,0,0,0,0,0,0,0,19,19,19,19,19,0,lev15,824,Petrolina_SONDA,-9.0691,-40.320108,381,2014-11-28
1313,29,11,2014,0.053248,0.061194,0.062208,0.060658,0.083193,0.081816,0.094799,0.110094,2.408803,0.529186,0.480867,0.813394,0.577771,1.204032,8,8,8,0,0,8,0,0,0,0,0,0,0,0,8,0,0,8,0,0,8,8,8,0,0,0,0,0,0,0,8,8,8,8,8,0,lev15,824,Petrolina_SONDA,-9.0691,-40.320108,381,2014-11-29
