,Date,month,year,AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_675nm,AOD_500nm,AOD_440nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,N[AOD_1640nm],N[AOD_1020nm],N[AOD_870nm],N[AOD_865nm],N[AOD_779nm],N[AOD_675nm],N[AOD_667nm],N[AOD_620nm],N[AOD_560nm],N[AOD_555nm],N[AOD_551nm],N[AOD_532nm],N[AOD_531nm],N[AOD_510nm],N[AOD_500nm],N[AOD_490nm],N[AOD_443nm],N[AOD_440nm],N[AOD_412nm],N[AOD_400nm],N[AOD_380nm],N[AOD_340nm],N[Precipitable_Water(cm)],N[AOD_681nm],N[AOD_709nm],N[AOD_Empty],N[AOD_Empty].1,N[AOD_Empty].2,N[AOD_Empty].3,N[AOD_Empty].4,N[440-870_Angstrom_Exponent],N[380-500_Angstrom_Exponent],N[440-675_Angstrom_Exponent],N[500-870_Angstrom_Exponent],N[340-440_Angstrom_Exponent],N[440-675_Angstrom_Exponent[Polar]],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),datetime
3183,14,10,2021,0.030697,0.054532,0.078503,0.124443,0.221276,0.273457,0.346127,0.397742,4.684383,1.835594,1.633004,1.846984,1.863772,1.462697,19,21,21,0,0,21,0,0,0,0,0,0,0,0,21,0,0,21,0,0,21,20,21,0,0,0,0,0,0,0,21,21,21,21,21,0,lev15,635,Rio_Branco,-9.957467,-67.86935,212,2021-10-14
3184,15,10,2021,0.066543,0.081299,0.096388,0.120483,0.182447,0.218423,0.273313,0.302656,4.658324,1.210428,1.473118,1.383928,1.154481,1.292502,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,lev15,635,Rio_Branco,-9.957467,-67.86935,212,2021-10-15
3185,17,10,2021,0.027823,0.05723,0.077173,0.124721,0.222065,0.271538,0.341106,0.392132,4.537266,1.855316,1.568902,1.83383,1.904422,1.456167,11,11,11,0,0,11,0,0,0,0,0,0,0,0,11,0,0,11,0,0,11,11,11,0,0,0,0,0,0,0,11,11,11,11,11,0,lev15,635,Rio_Branco,-9.957467,-67.86935,212,2021-10-17
3186,18,10,2021,0.039695,0.075591,0.103122,0.159504,0.277776,0.342901,0.427685,0.480678,4.938316,1.76698,1.570852,1.792532,1.78458,1.334677,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,lev15,635,Rio_Branco,-9.957467,-67.86935,212,2021-10-18
3187,19,10,2021,0.032831,0.070121,0.093792,0.153344,0.269348,0.328927,0.401808,0.452206,5.087216,1.843055,1.455284,1.793225,1.897361,1.255093,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,lev15,635,Rio_Branco,-9.957467,-67.86935,212,2021-10-19
3188,20,10,2021,0.048452,0.116326,0.15996,0.259875,0.433889,0.517506,0.616241,0.696145,4.555717,1.726943,1.283413,1.628307,1.798546,1.118678,18,18,18,0,0,18,0,0,0,0,0,0,0,0,18,0,0,18,0,0,18,16,18,0,0,0,0,0,0,0,18,18,18,18,18,0,lev15,635,Rio_Branco,-9.957467,-67.86935,212,2021-10-20
3189,21,10,2021,0.035622,0.068837,0.092625,0.149075,0.260216,0.317087,0.392285,0.449545,4.701776,1.809957,1.494935,1.773987,1.859248,1.373636,17,17,17,0,0,17,0,0,0,0,0,0,0,0,17,0,0,17,0,0,17,17,17,0,0,0,0,0,0,0,17,17,17,17,17,0,lev15,635,Rio_Branco,-9.957467,-67.86935,212,2021-10-21
3190,23,10,2021,0.036076,0.049376,0.062863,0.089891,0.156179,0.192261,0.246925,0.27763,4.668,1.618957,1.6496,1.750147,1.60184,1.546212,26,28,28,0,0,28,0,0,0,0,0,0,0,0,28,0,0,28,0,0,28,27,28,0,0,0,0,0,0,0,28,28,28,28,28,0,lev15,635,Rio_Branco,-9.957467,-67.86935,212,2021-10-23
3191,24,10,2021,0.107484,0.107341,0.119254,0.136541,0.187037,0.219793,0.265825,0.298627,4.778717,1.111527,1.303385,1.262946,1.049845,1.250403,19,19,20,0,0,20,0,0,0,0,0,0,0,0,19,0,0,20,0,0,20,20,20,0,0,0,0,0,0,0,20,20,20,20,20,0,lev15,635,Rio_Branco,-9.957467,-67.86935,212,2021-10-24
3192,27,10,2021,0.028129,0.037537,0.045644,0.060979,0.104153,0.126682,0.16378,0.185029,4.725576,1.530521,1.654537,1.723285,1.499032,1.499898,6,6,6,0,0,6,0,0,0,0,0,0,0,0,6,0,0,6,0,0,6,6,6,0,0,0,0,0,0,0,6,6,6,6,6,0,lev15,635,Rio_Branco,-9.957467,-67.86935,212,2021-10-27
3193,29,10,2021,0.027263,0.036514,0.044206,0.057725,0.094468,0.113578,0.146721,0.166163,3.968219,1.405471,1.609415,1.588709,1.370372,1.500719,23,23,23,0,0,23,0,0,0,0,0,0,0,0,23,0,0,23,0,0,23,23,23,0,0,0,0,0,0,0,23,23,23,23,23,0,lev15,635,Rio_Branco,-9.957467,-67.86935,212,2021-10-29
3194,30,10,2021,0.019771,0.029337,0.036828,0.050896,0.085923,0.103566,0.13352,0.155299,3.765513,1.540505,1.599421,1.668075,1.53501,1.598672,49,50,50,0,0,50,0,0,0,0,0,0,0,0,50,0,0,50,0,0,50,50,50,0,0,0,0,0,0,0,50,50,50,50,50,0,lev15,635,Rio_Branco,-9.957467,-67.86935,212,2021-10-30
3195,31,10,2021,0.039887,0.047587,0.055294,0.071148,0.112755,0.134034,0.16837,0.192102,4.36359,1.461405,1.512598,1.600666,1.447552,1.46747,22,22,22,0,0,22,0,0,0,0,0,0,0,0,22,0,0,22,0,0,22,22,22,0,0,0,0,0,0,0,22,22,22,22,22,0,lev15,635,Rio_Branco,-9.957467,-67.86935,212,2021-10-31
3196,1,11,2021,0.083742,0.087909,0.097088,0.115891,0.168992,0.198848,0.245401,0.279833,4.460099,1.126608,1.392677,1.311677,1.070219,1.371126,8,8,8,0,0,8,0,0,0,0,0,0,0,0,8,0,0,8,0,0,8,8,8,0,0,0,0,0,0,0,8,8,8,8,8,0,lev15,635,Rio_Branco,-9.957467,-67.86935,212,2021-11-01
