,Date,month,year,AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_675nm,AOD_500nm,AOD_440nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,N[AOD_1640nm],N[AOD_1020nm],N[AOD_870nm],N[AOD_865nm],N[AOD_779nm],N[AOD_675nm],N[AOD_667nm],N[AOD_620nm],N[AOD_560nm],N[AOD_555nm],N[AOD_551nm],N[AOD_532nm],N[AOD_531nm],N[AOD_510nm],N[AOD_500nm],N[AOD_490nm],N[AOD_443nm],N[AOD_440nm],N[AOD_412nm],N[AOD_400nm],N[AOD_380nm],N[AOD_340nm],N[Precipitable_Water(cm)],N[AOD_681nm],N[AOD_709nm],N[AOD_Empty],N[AOD_Empty].1,N[AOD_Empty].2,N[AOD_Empty].3,N[AOD_Empty].4,N[440-870_Angstrom_Exponent],N[380-500_Angstrom_Exponent],N[440-675_Angstrom_Exponent],N[500-870_Angstrom_Exponent],N[340-440_Angstrom_Exponent],N[440-675_Angstrom_Exponent[Polar]],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),datetime
845,28,10,2014,0.03806,0.057256,0.062979,0.077078,0.122519,0.139234,0.180133,0.215195,2.411831,1.298797,1.440395,1.491615,1.305465,1.76325,11,11,11,0,0,11,0,0,0,0,0,0,0,0,11,0,0,11,0,0,11,11,11,0,0,0,0,0,0,0,11,11,11,11,11,0,lev15,825,Sao_Martinho_SONDA,-29.443333,-53.823444,489,2014-10-28
846,29,10,2014,0.030939,0.05389,0.062888,0.08571,0.144193,0.169754,0.217527,0.258047,2.72248,1.483009,1.480948,1.61367,1.495331,1.669124,34,34,34,0,0,34,0,0,0,0,0,0,0,0,34,0,0,34,0,0,33,33,34,0,0,0,0,0,0,0,34,34,34,34,33,0,lev15,825,Sao_Martinho_SONDA,-29.443333,-53.823444,489,2014-10-29
847,31,10,2014,0.035023,0.027486,0.038987,0.048999,0.084788,0.091907,0.10628,0.132487,2.219157,1.353613,1.072569,1.535696,1.425891,1.927273,1,2,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,2,2,0,0,0,0,0,0,0,3,3,3,3,2,0,lev15,825,Sao_Martinho_SONDA,-29.443333,-53.823444,489,2014-10-31
848,3,11,2014,0.031442,0.041241,0.049306,0.067759,0.121482,0.136123,0.174746,0.207457,3.642248,1.528694,1.559199,1.656972,1.405395,1.669827,3,4,4,0,0,4,0,0,0,0,0,0,0,0,2,0,0,4,0,0,3,3,4,0,0,0,0,0,0,0,4,3,4,4,3,0,lev15,825,Sao_Martinho_SONDA,-29.443333,-53.823444,489,2014-11-03
849,4,11,2014,0.012726,0.015116,0.016269,0.018707,0.030269,0.033678,0.04372,0.053321,0.797682,1.144551,1.342201,1.416938,1.139467,1.795126,22,22,22,0,0,22,0,0,0,0,0,0,0,0,22,0,0,22,0,0,22,22,22,0,0,0,0,0,0,0,22,22,22,22,22,0,lev15,825,Sao_Martinho_SONDA,-29.443333,-53.823444,489,2014-11-04
850,5,11,2014,0.018239,0.020528,0.023615,0.029211,0.049942,0.056859,0.07447,0.092076,1.00174,1.369481,1.432587,1.607624,1.383034,1.88197,66,66,66,0,0,66,0,0,0,0,0,0,0,0,66,0,0,66,0,0,66,66,66,0,0,0,0,0,0,0,66,66,66,66,66,0,lev15,825,Sao_Martinho_SONDA,-29.443333,-53.823444,489,2014-11-05
851,6,11,2014,0.025133,0.032213,0.037288,0.049034,0.084273,0.095858,0.12355,0.148431,2.935547,1.450962,1.37948,1.611033,1.485947,1.692977,19,19,19,0,0,19,0,0,0,0,0,0,0,0,19,0,0,19,0,0,19,19,19,0,0,0,0,0,0,0,19,19,19,19,19,0,lev15,825,Sao_Martinho_SONDA,-29.443333,-53.823444,489,2014-11-06
852,7,11,2014,0.028671,0.03652,0.040146,0.053036,0.089984,0.104701,0.134636,0.161103,2.802466,1.483588,1.468037,1.632166,1.499627,1.689524,5,5,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,5,5,0,0,0,0,0,0,0,5,5,5,5,5,0,lev15,825,Sao_Martinho_SONDA,-29.443333,-53.823444,489,2014-11-07
931,8,4,2015,0.051906,0.062223,0.064223,0.070663,0.10213,0.109094,0.134173,0.157226,2.217008,0.829365,0.976198,1.044732,0.843976,1.449917,30,30,30,0,0,30,0,0,0,0,0,0,0,0,30,0,0,30,0,0,30,30,30,0,0,0,0,0,0,0,30,30,30,30,30,0,lev15,826,Sao_Martinho_SONDA,-29.443333,-53.823444,489,2015-04-08
932,9,4,2015,0.037451,0.045808,0.047517,0.052252,0.079412,0.084025,0.105719,0.125376,2.027032,0.912789,1.057185,1.154844,0.940123,1.596701,54,54,54,0,0,54,0,0,0,0,0,0,0,0,54,0,0,54,0,0,54,54,54,0,0,0,0,0,0,0,54,54,54,54,54,0,lev15,826,Sao_Martinho_SONDA,-29.443333,-53.823444,489,2015-04-09
933,10,4,2015,0.045917,0.053472,0.054694,0.058687,0.085942,0.090671,0.114087,0.134992,1.929026,0.79935,1.008598,1.039936,0.819603,1.563302,53,53,53,0,0,53,0,0,0,0,0,0,0,0,53,0,0,53,0,0,53,53,53,0,0,0,0,0,0,0,53,53,53,53,53,0,lev15,826,Sao_Martinho_SONDA,-29.443333,-53.823444,489,2015-04-10
934,11,4,2015,0.046682,0.05338,0.053927,0.056465,0.078515,0.08197,0.101129,0.118381,1.845314,0.683924,0.920803,0.908852,0.695365,1.441384,41,41,41,0,0,41,0,0,0,0,0,0,0,0,41,0,0,41,0,0,41,41,41,0,0,0,0,0,0,0,41,41,41,41,41,0,lev15,826,Sao_Martinho_SONDA,-29.443333,-53.823444,489,2015-04-11
935,12,4,2015,0.045603,0.056096,0.060202,0.069625,0.1136,0.125362,0.159046,0.190233,2.394475,1.160914,1.238015,1.363187,1.17977,1.646406,35,35,35,0,0,34,0,0,0,0,0,0,0,0,35,0,0,35,0,0,35,35,35,0,0,0,0,0,0,0,35,35,35,35,35,0,lev15,826,Sao_Martinho_SONDA,-29.443333,-53.823444,489,2015-04-12
936,13,4,2015,0.037939,0.046982,0.049699,0.057708,0.092765,0.101072,0.128208,0.153752,1.908231,1.130518,1.187023,1.357691,1.155892,1.646277,28,28,28,0,0,28,0,0,0,0,0,0,0,0,28,0,0,28,0,0,28,28,28,0,0,0,0,0,0,0,28,28,28,28,28,0,lev15,826,Sao_Martinho_SONDA,-29.443333,-53.823444,489,2015-04-13
937,14,4,2015,0.042187,0.059434,0.066541,0.086465,0.138043,0.159298,0.195622,0.227888,2.778374,1.326776,1.272864,1.450814,1.335079,1.404825,7,7,7,0,0,7,0,0,0,0,0,0,0,0,7,0,0,7,0,0,7,7,7,0,0,0,0,0,0,0,7,7,7,7,7,0,lev15,826,Sao_Martinho_SONDA,-29.443333,-53.823444,489,2015-04-14
938,15,4,2015,0.046524,0.055508,0.059566,0.070754,0.106051,0.115741,0.140327,0.160694,3.062068,1.152672,1.064966,1.280488,1.191341,1.319822,9,9,9,0,0,9,0,0,0,0,0,0,0,0,9,0,0,9,0,0,9,9,9,0,0,0,0,0,0,0,9,9,9,9,9,0,lev15,826,Sao_Martinho_SONDA,-29.443333,-53.823444,489,2015-04-15
939,16,4,2015,0.028345,0.037934,0.040877,0.048909,0.079802,0.088284,0.112178,0.131961,2.539559,1.204209,1.251927,1.422526,1.224155,1.585835,19,19,19,0,0,19,0,0,0,0,0,0,0,0,19,0,0,19,0,0,19,19,19,0,0,0,0,0,0,0,19,19,19,19,19,0,lev15,826,Sao_Martinho_SONDA,-29.443333,-53.823444,489,2015-04-16
940,18,4,2015,0.036455,0.037664,0.03483,0.028568,0.042613,0.035741,0.047885,0.061945,0.824383,0.236456,0.468575,0.671703,0.396513,2.219822,10,10,10,0,0,10,0,0,0,0,0,0,0,0,10,0,0,10,0,0,10,10,10,0,0,0,0,0,0,0,10,10,10,10,10,0,lev15,826,Sao_Martinho_SONDA,-29.443333,-53.823444,489,2015-04-18
941,19,4,2015,0.025658,0.031175,0.032524,0.036911,0.068244,0.075099,0.100183,0.125463,1.84914,1.337171,1.398068,1.719445,1.354294,2.007336,11,11,11,0,0,11,0,0,0,0,0,0,0,0,11,0,0,11,0,0,11,11,11,0,0,0,0,0,0,0,11,11,11,11,11,0,lev15,826,Sao_Martinho_SONDA,-29.443333,-53.823444,489,2015-04-19
