,Date,month,year,AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_675nm,AOD_500nm,AOD_440nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,N[AOD_1640nm],N[AOD_1020nm],N[AOD_870nm],N[AOD_865nm],N[AOD_779nm],N[AOD_675nm],N[AOD_667nm],N[AOD_620nm],N[AOD_560nm],N[AOD_555nm],N[AOD_551nm],N[AOD_532nm],N[AOD_531nm],N[AOD_510nm],N[AOD_500nm],N[AOD_490nm],N[AOD_443nm],N[AOD_440nm],N[AOD_412nm],N[AOD_400nm],N[AOD_380nm],N[AOD_340nm],N[Precipitable_Water(cm)],N[AOD_681nm],N[AOD_709nm],N[AOD_Empty],N[AOD_Empty].1,N[AOD_Empty].2,N[AOD_Empty].3,N[AOD_Empty].4,N[440-870_Angstrom_Exponent],N[380-500_Angstrom_Exponent],N[440-675_Angstrom_Exponent],N[500-870_Angstrom_Exponent],N[340-440_Angstrom_Exponent],N[440-675_Angstrom_Exponent[Polar]],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),datetime
1656,1,4,2014,0.024444,0.040341,0.049155,0.073219,0.131138,0.162374,0.209873,0.237084,3.757673,1.776539,1.729645,1.87528,1.774505,1.500477,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,lev15,828,Sao_Paulo,-23.5615,-46.734983,786,2014-04-01
1657,2,4,2014,0.040977,0.073075,0.09183,0.138245,0.229619,0.276414,0.330403,0.362537,3.398824,1.634188,1.351436,1.6418,1.657948,1.093873,3,3,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,3,3,0,0,0,0,0,0,0,3,3,3,3,3,0,lev15,828,Sao_Paulo,-23.5615,-46.734983,786,2014-04-02
1658,3,4,2014,0.028102,0.052768,0.066945,0.102954,0.173292,0.209296,0.251997,0.274858,3.050996,1.698573,1.421236,1.704919,1.725486,1.135652,2,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,0,lev15,828,Sao_Paulo,-23.5615,-46.734983,786,2014-04-03
1660,6,4,2014,0.039644,0.055838,0.063964,0.085335,0.132399,0.159499,0.195943,0.215665,1.859099,1.345467,1.456563,1.472058,1.30346,1.165486,60,60,60,0,0,60,0,0,0,0,0,0,0,0,60,0,0,60,0,0,60,60,60,0,0,0,0,0,0,0,60,60,60,60,60,0,lev15,828,Sao_Paulo,-23.5615,-46.734983,786,2014-04-06
1661,7,4,2014,0.10738,0.116228,0.119989,0.132587,0.172163,0.202053,0.233818,0.240503,1.4926,0.758884,1.112518,0.956666,0.654351,0.668062,16,16,16,0,0,16,0,0,0,0,0,0,0,0,16,0,0,16,0,0,16,16,16,0,0,0,0,0,0,0,16,16,16,16,16,0,lev15,828,Sao_Paulo,-23.5615,-46.734983,786,2014-04-07
1662,19,11,2014,0.09472,0.144823,0.171677,0.244198,0.408776,0.509266,0.651118,0.754122,2.633066,1.606137,1.716092,1.719038,1.570469,1.554177,9,9,9,0,0,9,0,0,0,0,0,0,0,0,9,0,0,9,0,0,9,9,9,0,0,0,0,0,0,0,9,9,9,9,9,0,lev15,828,Sao_Paulo,-23.5615,-46.734983,786,2014-11-19
1663,20,11,2014,0.077449,0.128476,0.155842,0.224389,0.356692,0.428046,0.516585,0.578019,2.572977,1.490372,1.360755,1.516053,1.49548,1.185741,2,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,0,lev15,828,Sao_Paulo,-23.5615,-46.734983,786,2014-11-20
1664,21,11,2014,0.086519,0.128908,0.147397,0.194343,0.30236,0.365358,0.452889,0.499804,3.198734,1.34044,1.48211,1.470904,1.29815,1.240131,8,8,8,0,0,8,0,0,0,0,0,0,0,0,8,0,0,8,0,0,8,8,8,0,0,0,0,0,0,0,8,8,8,8,8,0,lev15,828,Sao_Paulo,-23.5615,-46.734983,786,2014-11-21
1665,24,11,2014,0.073235,0.186299,0.242144,0.346396,0.499453,0.566757,0.62565,0.642957,3.493439,1.249606,0.825283,1.162599,1.303024,0.50451,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,lev15,828,Sao_Paulo,-23.5615,-46.734983,786,2014-11-24
1666,25,11,2014,0.012044,0.032045,0.037032,0.04647,0.080192,0.09597,0.128892,0.128447,3.302305,1.447698,1.750399,1.716412,1.405659,1.187918,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,lev15,828,Sao_Paulo,-23.5615,-46.734983,786,2014-11-25
