Level,Station,Total Days,Days with Data,Representative Days,Availability (%),Representative Days (%),Avg Measurements/Day,Start Date,End Date
level10,ARM,587,587,450,5.356816937397335,4.10658879357547,20.487223168654175,2013-12-20,2015-11-30
level10,ATTO-Campina,955,955,833,8.715093995254609,7.601752144551925,36.36020942408377,2021-12-07,2024-12-31
level10,Abracos,1717,1717,1362,15.668917685709072,12.429275415221756,21.914967967384975,1999-01-22,2005-10-10
level10,Aguas,80,80,54,0.7300602299689725,0.4927906552290564,18.125,1999-09-17,2000-05-23
level10,Alianca,1,1,0,0.009125752874612154,0.0,2.0,1995-08-16,1995-08-16
level10,Alta,394,394,297,3.5955466325971894,2.71034860375981,28.761421319796955,2021-09-13,2024-12-26
level10,Amazon,2639,2639,2251,24.08286183610148,20.54206972075196,39.91928760894278,2016-02-22,2024-12-31
level10,Ariquiums,4,4,4,0.03650301149844862,0.03650301149844862,21.25,1995-09-03,1995-09-06
level10,Balbina,896,896,694,8.176674575652491,6.333272494980837,23.350446428571427,1999-09-25,2002-11-05
level10,Belterra,1593,1593,1251,14.537324329257165,11.416316846139807,25.90332705586943,1999-09-21,2005-05-02
level10,Brasilia,158,158,138,1.4418689541887206,1.2593538966964775,35.379746835443036,1995-06-07,1995-11-21
level10,CAMPO,5,5,5,0.04562876437306078,0.04562876437306078,20.4,1995-08-28,1995-09-01
level10,Cachoeira,1312,1312,1080,11.972987771491148,9.855813104581127,31.691310975609756,2016-10-26,2024-12-31
level10,Campo,87,87,62,0.7939405000912576,0.5657966782259536,15.931034482758621,1995-08-05,1995-11-13
level10,Cuiaba,101,101,81,0.9217010403358277,0.7391859828435846,33.89108910891089,1995-07-10,1995-11-20
level10,GORDO,2,2,2,0.01825150574922431,0.01825150574922431,18.5,1995-08-23,1995-08-25
level10,Ibirapuera,7,7,6,0.06388027012228509,0.05475451724767294,22.571428571428573,2019-07-23,2019-07-30
level10,Itajuba,1606,1606,1307,14.655959116627121,11.927359007118087,29.792652552926526,2013-04-23,2022-07-18
level10,JamTown,7,7,6,0.06388027012228509,0.05475451724767294,36.57142857142857,1995-09-02,1995-09-11
level10,Jaru,97,97,92,0.8851980288373791,0.8395692644643182,28.701030927835053,2002-06-30,2002-10-15
level10,Ji,1030,1030,898,9.399525460850521,8.194926081401716,41.45436893203883,2002-07-15,2024-11-21
level10,Manaus,1967,1967,1440,17.95035590436211,13.141084139441503,20.871886120996443,2011-01-30,2019-05-27
level10,Natal,453,453,380,4.133966052199307,3.467786092352619,22.05077262693157,2016-01-29,2019-04-04
level10,Pantanal,4,4,3,0.03650301149844862,0.02737725862383647,15.25,1995-08-29,1995-09-01
level10,Petrolina,2763,2763,2357,25.214455192553388,21.50939952546085,28.685848715164678,2004-07-02,2024-10-17
level10,Porto,47,47,31,0.42891038510677126,0.2828983391129768,12.382978723404255,2002-09-30,2002-11-16
level10,Potosi,10,10,8,0.09125752874612156,0.07300602299689724,23.8,1995-09-02,1995-09-11
level10,Rio,5450,5450,4231,49.73535316663625,38.61106041248403,23.89302752293578,2000-07-02,2024-12-31
level10,Santarem,89,89,74,0.8121920058404819,0.6753057127212995,52.50561797752809,2024-02-08,2024-12-31
level10,Sao,2797,2797,2301,25.5247307902902,20.99835736448257,35.64890954594208,2008-07-26,2024-12-04
